sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
105,0.40529798195062516,0.851998868006751,0.4467008860561258,0.45978881671637073,0.7426602366025287,0.6422911753106322,0.9178453336186116,0.5,0.12439519250229705,0.22769143258203306,0.47517040071440764
106,0.14142118283290822,0.5503995892248942,0.408978406391986,1.8257142390087793,0.4052801997056269,0.8498071223523165,0.9633627225194049,0.5,0.5944647885741595,0.8871244950540244,0.6412838943676137
107,0.3824374914777323,0.6951716667221277,0.31273417524439545,0.6516895885975468,0.47164475356724456,0.19114178063001674,0.7695212530612972,0.5,0.4344589476838141,0.6169526822976635,0.08486492574393689
108,0.760248330108144,0.885002143108605,0.12475381300046107,0.045737791109438763,0.8187401252230957,0.034995424684489795,0.8900970078214046,0.5,0.5995675781281461,0.6246320672213098,0.2979003118352006
109,0.35005722103096,0.7532385224480753,0.4031813014171153,0.1979556550251594,0.8741994381781306,0.6797119363365619,0.8139288540792531,0.5,0.5888851003600796,0.5365228359778941,0.6254657207885637
110,0.5903394695575411,0.9376952374815286,0.34735576792398737,0.5845642378777688,0.433611794430969,0.08972019610074755,0.9673197731035785,0.5,0.43185752606821115,0.455637304477693,0.26302322263726385
111,0.39483932799402155,0.8823515409823244,0.48751221298830283,0.6501992429231491,0.7367371751794831,0.8286257786607304,0.954577915898123,0.5,0.37882616688635007,0.16686811198780582,0.7495614009778855
112,0.04141502498181818,0.5320772478717439,0.49066222288992584,6.454899157925053,0.26743206845969547,0.8742526707946248,0.7518647845859664,0.5,0.15084620532719104,0.2582813356512623,0.5832280283989965
113,0.4395531509465821,0.7961604872928094,0.3566073363462274,0.25593724886452573,0.8372805091156226,0.6375773767220596,0.9226374960702919,0.5,0.2048248333658956,0.8148315666602548,0.6907129559750944
114,0.5972211861629066,0.776873602485518,0.17965241632261128,0.02056888064653893,0.9439844170543601,0.1586684510374402,0.7830652386807994,0.5,0.49704580127169273,0.507977371672943,0.6162090671587517
115,0.0789136273745766,0.5436926211592936,0.46477899378471693,5.612067205132255,0.1742569597632676,0.6054543252186775,0.8889363052273654,0.5,0.32081211666840226,0.6417111492572095,0.42460761392350943
116,0.2779432709094335,0.7518294631684374,0.4738861922590039,0.4722047628341876,0.5589492984378371,0.250827927114851,0.760754016186479,0.5,0.19740502102534538,0.07456810786722379,0.9133491251927273
117,0.03322976992111845,0.4983134058456121,0.4650836359244937,6.69461213171933,0.14077294512317773,0.878751236208176,0.9864587475107738,0.5,0.5953280038112617,0.8646563588584567,0.7063634275202876
118,0.35844623777485013,0.8177206545000031,0.4592744167251529,0.16943790318669297,0.8160642911601975,0.36917737416238405,0.8248872494884735,0.5,0.39716385620839956,0.07072451746742825,0.503586419927882
119,0.1177423401088166,0.6152483682343809,0.49750602812556427,3.529494909452275,0.4636318644048787,0.9802408794336729,0.889879283710518,0.5,0.12568805681893577,0.2857041901162567,0.6432599558982687
120,0.268141100970613,0.7581524624001684,0.4900113614295555,0.9318243763218927,0.6080992591938024,0.678350443107727,0.7889400865755165,0.5,0.48732257949612523,0.06792951890377619,0.2479446367479765
121,0.36149379565154965,0.7642627994926722,0.4027690038411225,0.4741338672381333,0.49441324716663015,0.12411205817762305,0.784089312697312,0.5,0.3539343032637827,0.3032829092043129,0.7068461969895469
122,0.46980507377417763,0.796333080538397,0.32652800676421945,0.7379230844896576,0.4182559287717621,0.13949501303032963,0.8781577328323745,0.5,0.5960915952011439,0.6329921349640666,0.15813424131302956
123,0.4656444079757683,0.8407651138815115,0.3751207059057432,0.5644874083297331,0.5762587577220065,0.36222082138708434,0.9373483624820372,0.5,0.38306209445266726,0.40882719453752603,0.1298384803117345
124,0.23941311462390025,0.7179244349266278,0.47851132030272747,2.7264317692494773,0.2769386949693089,0.5061934596438411,0.8219153576168641,0.5,0.2978145605574357,0.20260488920162212,0.38469769571230183
125,0.18430665123616014,0.6005430235458338,0.41623637230967364,0.6694125400157229,0.6821999950049392,0.7472481822834253,0.7570274445236237,0.5,0.5021869424269689,0.6092726405692658,0.3950683444940156
126,0.8231720821566931,0.932932036941934,0.109759954785241,0.041355333812301415,0.8803407859217295,0.11696056590932791,0.9478664404210595,0.5,0.5174644395083061,0.7469809318483712,0.11188863179689312
127,0.34068903068778045,0.8397826353950292,0.4990936047072486,77.1174761904762,0.024989982742711803,0.7430540224954547,0.9238881550911355,0.5,0.16370638315430522,0.19050678944288846,0.5202790404624407
128,0.361047977702293,0.8600263174516091,0.49897833974931605,1.0362392443996362,0.6939644879175239,0.9671086957221304,0.9052411933968744,0.5,0.5094041583576123,0.07194382394819265,0.7491574594487547
