alpha,step,delta_v
0.6,187,0.5854248645557873
0.6,188,0.5861222452621118
0.6,189,0.5862316525604054
0.6,190,0.5858923354919251
0.6,191,0.5857713428541699
0.6,192,0.5856834272048504
0.6,193,0.5852293283466596
0.6,194,0.5851010343256466
0.6,195,0.5823801948844856
0.6,196,0.5815941641405044
0.6,197,0.5818241603221248
0.6,198,0.5825814980637345
0.6,199,0.5833014249735704
1.0,0,0.38551799999999986
1.0,1,0.44624999999999987
1.0,2,0.4857383999999999
1.0,3,0.5172643379999999
1.0,4,0.5369872781999999
1.0,5,0.5508745685399998
1.0,6,0.5588193141479999
1.0,7,0.5673548824751998
1.0,8,0.5743752542704198
1.0,9,0.5774733182515978
1.0,10,0.5798790254963061
1.0,11,0.5814823130549565
1.0,12,0.5856083442641344
1.0,13,0.5827179790080179
1.0,14,0.583011791262325
1.0,15,0.5841348472270683
1.0,16,0.5865908981420886
1.0,17,0.5873571791337298
1.0,18,0.5851529404634376
1.0,19,0.5837559763399128
1.0,20,0.585729903788447
1.0,21,0.5847128256419333
1.0,22,0.5854355010239481
1.0,23,0.5847004643545101
1.0,24,0.5842663378087315
1.0,25,0.5857142501409637
1.0,26,0.5838648478030734
1.0,27,0.5822995137931142
1.0,28,0.5842480723380276
1.0,29,0.582168550936921
1.0,30,0.583315593858765
1.0,31,0.5839172022961904
1.0,32,0.5861971284163386
1.0,33,0.5855851926756004
1.0,34,0.5850453751632783
1.0,35,0.5850933141887339
1.0,36,0.5839620429277292
1.0,37,0.5827597659747732
1.0,38,0.5802954946767026
1.0,39,0.5810872143777815
1.0,40,0.5822206566828886
1.0,41,0.5832540142055689
1.0,42,0.5821541529587999
1.0,43,0.581831346868006
1.0,44,0.5821414803671655
1.0,45,0.5850491746120213
1.0,46,0.5835149563871247
1.0,47,0.580470567068665
1.0,48,0.5821830794000943
1.0,49,0.5821397022192415
1.0,50,0.5821724554900354
1.0,51,0.5842140126948608
1.0,52,0.582983198808391
1.0,53,0.5810288976947077
1.0,54,0.580481142804487
1.0,55,0.5812744759875961
1.0,56,0.5824935968185714
1.0,57,0.5827797438106471
1.0,58,0.5820998562415367
1.0,59,0.5830659508156244
1.0,60,0.5820344617995311
1.0,61,0.5817365715046485
1.0,62,0.5811605268649251
1.0,63,0.5817007271697625
1.0,64,0.5812590954487201
1.0,65,0.5838349227007346
1.0,66,0.5832162973041488
1.0,67,0.5841918330399889
1.0,68,0.5799329085611259
1.0,69,0.580742992168582
1.0,70,0.5786745552725244
1.0,71,0.5831635452162311
1.0,72,0.583174989241032
1.0,73,0.5843517420911952
1.0,74,0.5818159015441328
1.0,75,0.5835427369320119
1.0,76,0.5862274271020642
1.0,77,0.5863576601854189
1.0,78,0.5865361631107726
1.0,79,0.5847251191449199
1.0,80,0.5853508634277351
1.0,81,0.5840011074991618
1.0,82,0.5836878108196257
1.0,83,0.5819982439482603
1.0,84,0.5791053748640141
1.0,85,0.5792387810747415
1.0,86,0.5812133379102099
1.0,87,0.5827612713515049
1.0,88,0.5813073357767089
1.0,89,0.5821894868548894
1.0,90,0.5847003554695454
1.0,91,0.5836566184913466
1.0,92,0.5860793282723031
1.0,93,0.5860955793576259
1.0,94,0.5831412599376187
1.0,95,0.582066358618874
1.0,96,0.582428364391664
1.0,97,0.5829869513907945
1.0,98,0.5825917342270043
1.0,99,0.5804148250278839
1.0,100,0.5824847432559777
1.0,101,0.5842462884726539
1.0,102,0.5853152114858358
1.0,103,0.5848562702318535
1.0,104,0.5840001058935966
1.0,105,0.5858784346657654
1.0,106,0.5868779255697452
