sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
19,-0.020950961115255552,0.3969771204723768,0.4179280815876324,3.9167286769745338,0.2020173512975978,0.5654784146623666,0.6901515652128003,0.5,0.1275536679476561,0.9513395513366475
20,0.43353239005722033,0.8392742282996956,0.40574183824247523,0.17236944332827478,0.7288273572721244,0.17554499781764055,0.8463795467907478,0.5,0.5564015705845731,0.1024941347304994
21,0.05017813604391423,0.5374640235590314,0.4872858875151172,32.54490187590188,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
22,0.19313661506248542,0.49742637774033416,0.3042897626778488,0.14631537971943992,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
23,-0.3515050714479362,0.14473970145399817,0.49624477290193436,78.53466666666667,0.006753772081126819,0.9458115437886523,0.8277112927778804,0.5,0.15258465984492742,0.5886323190849075
24,0.054614665072270877,0.39969429588701844,0.3450796308147476,1.128235756131659,0.5037655996150194,0.17380898198029437,0.5314251491666577,0.5,0.03190525603462713,0.23815560012051462
25,0.08739624979465974,0.4632228014386649,0.3758265516440052,1.0178678883351602,0.5154296535544239,0.6023578195926511,0.6414797658403927,0.5,0.8947055744396657,0.7231912274435535
26,0.46816859235438163,0.5227996963945893,0.0546311040402076,0.01471548863654919,0.926541415360381,0.05899723480765795,0.525073731653495,0.5,0.12208044152906072,0.5311501483237562
27,0.7344360485115179,0.9901347564959317,0.25569870798441385,0.038887611770751104,0.9131380419328305,0.18246727027158915,0.9957493551966521,0.5,0.3229556341470833,0.191315705661408
28,0.02539952827265678,0.3941194045000079,0.3687198762273511,1.0153159286314104,0.4968664343329384,0.31440532074782923,0.5151523292340905,0.5,0.5890203488734043,0.6340383820561487
29,0.8221235170611878,0.8664758169031032,0.04435229984191538,0.0023388056878483983,0.9663444843354702,0.014879684354945466,0.8665799921709766,0.5,0.5016849210767741,0.12093655368094158
30,0.3304224086953988,0.6796445290959213,0.34922212040052253,0.23879978629073007,0.8579403861447054,0.7024108748899226,0.7843070143109996,0.5,0.09035270116837701,0.7270797710217943
31,0.4867292664020617,0.808860814412171,0.32213154801010924,0.7251876907332699,0.4886337017858914,0.28049914197264403,0.9426651334048824,0.5,0.43944916614681173,0.6416481212367472
32,0.4380572794817195,0.5986332055277606,0.16057592604604104,0.2742943435512988,0.6310390607112448,0.008436724109673222,0.6108291737432499,0.5,0.22026902777150836,0.741137213731608
33,0.6787125099545255,0.8522659125269383,0.1735534025724128,0.03668281494737571,0.9415540094377698,0.2664372993571338,0.8736366542122447,0.5,0.8093563205857559,0.806808892199511
34,-0.06232285622308563,0.4191992528048402,0.4815221090279258,46.620787561037176,0.05453266664014589,0.0989362827796747,0.7766132845492864,0.5,0.7309312365146728,0.68247104416692
35,0.15865644100922596,0.5593793065532051,0.4007228655439792,0.3519552920092864,0.7625913088397134,0.5994125259668276,0.6177386864627697,0.5,0.9116758383084868,0.4140805996096143
36,0.6976463264613527,0.9170139468365452,0.21936762037519233,0.22811128152286386,0.7234640804720515,0.2659508736226315,0.9901847887403825,0.5,0.04691841858884371,0.49411580843726843
37,-0.03090516247075934,0.36705658621448306,0.39796174868524237,1.6662096586314132,0.37052911735880145,0.6555742562392315,0.5000230642938648,0.5,0.8589758799289435,0.6828099697865743
38,0.0709925156177563,0.39917239963371204,0.3281798840159557,2.419460957251007,0.33203330622393856,0.024816198996279404,0.5211014583282607,0.5,0.9430113130768059,0.918612069649056
39,0.055906273831111776,0.48485998548977793,0.42895371165866614,2.175938815597302,0.31472696748617557,0.37222095921341636,0.6333748715071035,0.5,0.5915185219817075,0.46307961444510737
40,0.11513871085047259,0.48205487591065727,0.3669161650601847,0.1976113993548702,0.8353303278541164,0.49543394887902736,0.5088572616491536,0.5,0.1340384128921932,0.33240096973759226
41,0.2309179696701557,0.6039300420453454,0.37301207237518974,1.066505901480593,0.501302700176149,0.5433687111510539,0.8474244504840063,0.5,0.3749016269856693,0.7553478000631786
